aardvark-dns 1.17.0-1
shadow 4.18.0-1
sl 5.05-5
slirp4netns 1.3.3-1
sqlite 3.52.0-1
sudo 1.9.17.p2-2
systemd 260.1-1
systemd-libs 260.1-1
systemd-sysvcompat 260.1-1
tar 1.35-2
texinfo 7.2-1
tmux-custom 3.2a-1
tpm2-tss 4.1.3-1
tree 2.1.0-1
tzdata 2026a-1
unzip 6.0-23
usbutils 019-1
util-linux 2.42-1
util-linux-libs 2.42-1
vim 9.2.0315-1
vim-runtime 9.2.0315-1
wget 1.25.0-3
which 2.23-1
wireguard-tools 1.0.20260223-1
wireless-regdb 2026.02.04-1
wireless_tools 30.pre9-5
wpa_supplicant 2:2.11-5
xxhash 0.8.3-1
xz 5.8.3-1
yajl 2.1.0-6
yay 12.5.7-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zstd 1.5.7-3
