lxappearance 0.6.4-3
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
maim 5.8.2-1
make 4.4.1-3
man-db 2.13.1-2
maven 3.9.16-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.2.1-1
mesa-utils 9.0.0-7
minizip 1:1.3.2-3
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-4
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
ncdu 2.9.2-1
ncurses 6.6-2
neovim 0.12.4-1
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
nftables 1:1.1.6-3
nm-connection-editor 1.36.0-2
notion-app-electron 7.27.0-1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.127-1
ntfs-3g 2026.7.7-1
ocl-icd 2.3.5-1
okular 26.08.0-1
onetbb 2023.1.0-1
openal 1.25.2-2
opencore-amr 0.1.6-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openssh 10.5p1-1
openssl 3.6.3-1
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
otf-font-awesome 7.3.1-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm-2.48 2.56.2-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-curses 1.46-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-term-animation 2.6-14
perl-timedate 2.35-1
pfetch 1.11.0-1
phonon-qt6 4.12.0-6
phonon-qt6-mpv 0.1.0-4
picom 13-2
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.5-1
polkit 127-3
polybar 3.7.2-2
poppler 26.08.0-1
poppler-data 0.4.12-2
poppler-qt6 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
potrace 1.16-5
powerline 2.8.4-4
powerline-fonts 2.8.4-4
procps-ng 4.0.7-1
psmisc 23.7-2
purpose 6.29.0-1
python 3.14.7-1
python-attrs 26.1.0-1
python-cffi 2.1.1-1
python-configargparse 1.7.5-1
python-cryptography 50.0.0-1
python-dbus 1.4.0-2
python-filelock 3.29.3-1
python-gobject 3.56.3-1
python-i3ipc 2.2.1-9
python-packaging 26.3-1
python-pip 26.2.1-1
python-pycparser 3.00-1
python-pydbus 0.6.0-14
python-pyudev 0.24.4-1
python-pywal 3.3.0-11
python-six 1.17.0-3
python-wheel 0.48.0-1
python-xlib 0.33-7
python311 3.11.16-1
qbittorrent 5.2.3-3
qca-qt6 2.3.10-8
qt6-5compat 6.11.2-1
qt6-base 6.11.2-2
qt6-declarative 6.11.2-1
qt6-multimedia 6.11.2-1
qt6-multimedia-ffmpeg 6.11.2-1
qt6-positioning 6.11.2-1
qt6-shadertools 6.11.2-1
qt6-speech 6.11.2-1
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-webchannel 6.11.2-1
qt6-webengine 6.11.2-1
ranger 1.9.4-5
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.003-1
reflector 2023-5
ripgrep 15.2.0-1
rofi 2.0.0-1
rofimoji 6.7.0-2
rtkit 0.14-1
rubberband 4.0.0-2
runc 1.5.1-1
sbc 2.2-1
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
sed 4.10-2
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
signon-kwallet-extension 26.08.0-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
signond 8.61-4
sl 5.05-5
slang 2.3.3-4
slop 7.7-4
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
solid 6.29.0-1
sonnet 6.29.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
spotify 1:1.2.96.518-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.6-1
startup-notification 0.12-9
steam 1.0.0.87-3
steam-devices 1.0.0.87-3
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
syncthing 2.1.3-1
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
